Date,Al Rajhi Bank (1120.SR),Saudi Aramco (2222.SR),STC (7010.SR),Gold (GLD),S&P 500 (^GSPC)
2021-01-04,41.29009246826172,22.892189025878906,32.45088195800781,182.3300018310547,3700.64990234375
2021-01-05,41.402442932128906,22.892189025878906,32.45088195800781,182.8699951171875,3726.860107421875
2021-01-06,41.06538009643555,22.859352111816406,32.39033508300781,179.89999389648438,3748.139892578125
2021-01-07,41.57097625732422,22.92503547668457,32.93521499633789,179.47999572753906,3803.7900390625
2021-01-08,41.57097625732422,22.92503547668457,32.93521499633789,173.33999633789062,3824.679931640625
2021-01-10,41.851863861083984,22.99072265625,33.177391052246094,173.33999633789062,3824.679931640625
2021-01-11,42.132747650146484,23.122098922729492,33.601200103759766,173.0,3799.610107421875
2021-01-12,42.132747650146484,23.089252471923828,33.601200103759766,174.1199951171875,3801.18994140625
2021-01-13,42.132747650146484,23.089252471923828,33.29847717285156,173.3699951171875,3809.840087890625
2021-01-14,41.964210510253906,22.99072265625,33.29847717285156,173.27999877929688,3795.5400390625
2021-01-15,41.964210510253906,22.99072265625,33.29847717285156,171.1300048828125,3768.25
2021-01-17,41.79568862915039,22.859352111816406,33.35902404785156,171.1300048828125,3768.25
2021-01-18,41.851863861083984,22.957881927490234,35.175296783447266,171.1300048828125,3768.25
2021-01-19,41.68333053588867,22.92503547668457,34.26716232299805,172.5800018310547,3798.909912109375
2021-01-20,41.57097625732422,22.859352111816406,33.78282165527344,175.38999938964844,3851.85009765625
2021-01-21,41.514801025390625,22.859352111816406,33.72227096557617,175.27999877929688,3853.070068359375
2021-01-22,41.514801025390625,22.859352111816406,33.72227096557617,173.89999389648438,3841.469970703125
2021-01-24,41.29009246826172,22.957881927490234,33.35902404785156,173.89999389648438,3841.469970703125
2021-01-25,41.402442932128906,22.826501846313477,33.78282165527344,174.0500030517578,3855.360107421875
2021-01-26,41.00920486450195,22.793659210205078,33.78282165527344,173.6199951171875,3849.6201171875
2021-01-27,41.00920486450195,22.859352111816406,33.84336853027344,172.52000427246094,3750.77001953125
2021-01-28,41.00920486450195,22.826501846313477,34.26716232299805,172.67999267578125,3787.3798828125
2021-01-29,41.00920486450195,22.826501846313477,34.26716232299805,172.61000061035156,3714.239990234375
2021-01-31,40.615970611572266,22.760814666748047,34.14606857299805,172.61000061035156,3714.239990234375
2021-02-01,40.44744110107422,22.432376861572266,33.601200103759766,174.22999572753906,3773.860107421875
2021-02-02,40.16655349731445,22.465219497680664,33.78282165527344,172.11000061035156,3826.31005859375
2021-02-03,40.278907775878906,22.333839416503906,33.5406494140625,171.85000610351562,3830.169921875
2021-02-04,41.68333053588867,22.30099868774414,34.14606857299805,168.14999389648438,3871.739990234375
2021-02-05,41.68333053588867,22.30099868774414,34.14606857299805,169.80999755859375,3886.830078125
2021-02-07,42.24510192871094,22.3995304107666,34.20662307739258,169.80999755859375,3886.830078125
2021-02-08,43.1439323425293,22.530906677246094,33.964454650878906,171.52000427246094,3915.590087890625
2021-02-09,44.379825592041016,22.662282943725586,34.63040542602539,172.0800018310547,3911.22998046875
2021-02-10,44.54835510253906,22.629440307617188,34.75149917602539,172.7100067138672,3909.8798828125
2021-02-11,44.94159698486328,22.695127487182617,34.99367904663086,171.2100067138672,3916.3798828125
2021-02-12,44.94159698486328,22.695127487182617,34.99367904663086,170.69000244140625,3934.830078125
2021-02-14,46.90779495239258,22.695127487182617,35.53855895996094,170.69000244140625,3934.830078125
2021-02-15,47.75044631958008,22.760814666748047,36.32561111450195,170.69000244140625,3934.830078125
2021-02-16,46.96397018432617,22.892189025878906,36.265071868896484,168.24000549316406,3932.590087890625
2021-02-17,47.18867111206055,22.826501846313477,35.478023529052734,166.3300018310547,3931.330078125
2021-02-18,46.85161209106445,22.826501846313477,34.93313980102539,166.32000732421875,3913.969970703125
2021-02-19,46.85161209106445,22.826501846313477,34.93313980102539,167.00999450683594,3906.7099609375
2021-02-21,47.30103302001953,22.826501846313477,35.175296783447266,167.00999450683594,3906.7099609375
2021-02-22,47.46956253051758,22.72797203063965,34.87258529663086,169.50999450683594,3876.5
2021-02-23,49.379581451416016,22.793659210205078,35.478023529052734,169.1199951171875,3881.3701171875
2021-02-24,50.109886169433594,22.695127487182617,34.812049865722656,169.0,3925.429931640625
2021-02-25,51.12106704711914,22.695127487182617,35.962364196777344,165.82000732421875,3829.340087890625
2021-02-26,51.12106704711914,22.695127487182617,35.962364196777344,161.80999755859375,3811.14990234375
2021-02-28,50.22223663330078,22.629440307617188,35.53855895996094,161.80999755859375,3811.14990234375
2021-03-01,49.042518615722656,22.662282943725586,34.99367904663086,161.52999877929688,3901.820068359375
2021-03-02,50.27840805053711,22.629440307617188,35.53855895996094,162.41000366210938,3870.2900390625
2021-03-03,50.39076232910156,23.023563385009766,35.65963363647461,160.6199951171875,3819.719970703125
2021-03-04,49.997528076171875,23.122098922729492,34.69095230102539,159.0399932861328,3768.469970703125
2021-03-05,49.997528076171875,23.122098922729492,34.69095230102539,159.13999938964844,3841.93994140625
2021-03-07,50.44694137573242,23.516225814819336,34.99367904663086,159.13999938964844,3841.93994140625
2021-03-08,51.4581298828125,23.5819091796875,34.99367904663086,157.49000549316406,3821.35009765625
2021-03-09,53.92991638183594,23.516225814819336,35.296382904052734,160.83999633789062,3875.43994140625
2021-03-10,55.6152229309082,23.516225814819336,35.59909439086914,161.66000366210938,3898.81005859375
2021-03-11,54.66022491455078,23.5819091796875,35.90181350708008,161.52000427246094,3939.340087890625
